eventName,time,subjectName,objectBehavior
PersonEntersZone,2020-06-09 16:07:54:572,Bathroom,34486de5-8731-4e5a-908f-dc1bf25db124
ObjectHasChangedBehavior,2020-06-09 16:07:57:573,Laura,null
ObjectHasChangedBehavior,2020-06-09 16:07:57:573,Laura,null
PersonEntersZone,2020-06-09 16:07:57:573,Bedroom,34486de5-8731-4e5a-908f-dc1bf25db124
PersonEntersZone,2020-06-09 16:07:57:573,Bedroom,34486de5-8731-4e5a-908f-dc1bf25db124
ObjectHasChangedBehavior,2020-06-09 16:07:58:573,Minetto,null
ObjectHasChangedBehavior,2020-06-09 16:07:58:573,Minetto,null
PersonEntersZone,2020-06-09 16:07:58:574,Office,067abaec-0786-4e52-a4af-2b55cf30e944
PersonEntersZone,2020-06-09 16:07:58:574,Office,067abaec-0786-4e52-a4af-2b55cf30e944
PersonExitsZone,2020-06-09 16:07:58:574,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944
PersonExitsZone,2020-06-09 16:07:58:574,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944
ObjectHasChangedBehavior,2020-06-09 16:08:01:575,Minetto,null
ObjectHasChangedBehavior,2020-06-09 16:08:01:575,Minetto,null
PersonEntersZone,2020-06-09 16:08:01:575,Bedroom,067abaec-0786-4e52-a4af-2b55cf30e944
PersonEntersZone,2020-06-09 16:08:01:575,Bedroom,067abaec-0786-4e52-a4af-2b55cf30e944
PersonExitsZone,2020-06-09 16:08:01:575,Office,067abaec-0786-4e52-a4af-2b55cf30e944
PersonExitsZone,2020-06-09 16:08:01:575,Office,067abaec-0786-4e52-a4af-2b55cf30e944
ObjectHasChangedBehavior,2020-06-09 16:08:07:575,Laura,null
ObjectHasChangedBehavior,2020-06-09 16:08:07:575,Laura,null
PersonEntersZone,2020-06-09 16:08:07:575,Dress room,34486de5-8731-4e5a-908f-dc1bf25db124
PersonEntersZone,2020-06-09 16:08:07:575,Dress room,34486de5-8731-4e5a-908f-dc1bf25db124
ObjectHasChangedBehavior,2020-06-09 17:20:01:420,Minetto,null
ObjectHasChangedBehavior,2020-06-09 17:20:01:420,Minetto,null
PersonExitsZone,2020-06-09 17:20:01:420,Bedroom,067abaec-0786-4e52-a4af-2b55cf30e944
PersonExitsZone,2020-06-09 17:20:01:420,Bedroom,067abaec-0786-4e52-a4af-2b55cf30e944
ObjectHasChangedBehavior,2020-06-09 17:20:01:420,Minetto,null
PersonEntersZone,2020-06-09 17:20:01:420,Garage,067abaec-0786-4e52-a4af-2b55cf30e944
PersonEntersZone,2020-06-09 17:20:01:420,Garage,067abaec-0786-4e52-a4af-2b55cf30e944
PersonExitsZone,2020-06-09 17:20:01:420,Bedroom,067abaec-0786-4e52-a4af-2b55cf30e944
ObjectHasChangedBehavior,2020-06-09 17:20:01:423,Laura,null
ObjectHasChangedBehavior,2020-06-09 17:20:01:423,Laura,null
ObjectHasChangedBehavior,2020-06-09 17:20:01:423,Laura,null
PersonEntersZone,2020-06-09 17:20:01:420,Garage,067abaec-0786-4e52-a4af-2b55cf30e944
ObjectHasChangedBehavior,2020-06-09 17:20:04:421,Minetto,null
ObjectHasChangedBehavior,2020-06-09 17:20:04:421,Minetto,null
ObjectHasChangedBehavior,2020-06-09 17:20:04:421,Minetto,null
PersonEntersZone,2020-06-09 17:20:04:421,Livingroom,067abaec-0786-4e52-a4af-2b55cf30e944
PersonEntersZone,2020-06-09 17:20:04:421,Livingroom,067abaec-0786-4e52-a4af-2b55cf30e944
PersonEntersZone,2020-06-09 17:20:04:421,Livingroom,067abaec-0786-4e52-a4af-2b55cf30e944
PersonExitsZone,2020-06-09 17:20:04:421,Garage,067abaec-0786-4e52-a4af-2b55cf30e944
PersonExitsZone,2020-06-09 17:20:04:421,Garage,067abaec-0786-4e52-a4af-2b55cf30e944
PersonExitsZone,2020-06-09 17:20:04:421,Garage,067abaec-0786-4e52-a4af-2b55cf30e944
ObjectHasChangedBehavior,2020-06-09 17:20:07:422,Laura,null
ObjectHasChangedBehavior,2020-06-09 17:20:07:422,Laura,null
ObjectHasChangedBehavior,2020-06-09 17:20:07:422,Laura,null
PersonEntersZone,2020-06-09 17:20:07:424,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124
PersonEntersZone,2020-06-09 17:20:07:424,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124
PersonExitsZone,2020-06-09 17:20:07:424,Dress room,34486de5-8731-4e5a-908f-dc1bf25db124
ObjectHasChangedBehavior,2020-06-09 17:20:07:425,Minetto,nullPersonExitsZone,2020-06-09 17:20:07:424,Dress room,34486de5-8731-4e5a-908f-dc1bf25db124
ObjectHasChangedBehavior,2020-06-09 17:20:07:425,Minetto,nullObjectHasChangedBehavior,2020-06-09 17:20:07:425,Minetto,null
PersonEntersZone,2020-06-09 17:20:07:424,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124
PersonExitsZone,2020-06-09 17:20:07:424,Dress room,34486de5-8731-4e5a-908f-dc1bf25db124


ObjectHasChangedBehavior,2020-06-09 17:20:10:423,Laura,null
ObjectHasChangedBehavior,2020-06-09 17:20:10:423,Laura,null
ObjectHasChangedBehavior,2020-06-09 17:20:10:423,Laura,null
PersonExitsZone,2020-06-09 17:20:10:423,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124
